StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
53, 4.18424, 4.1874, 4.18786, 4.18786, 4.19139, 4.19478, 4.19632, 4.1989, 4.22331, 4.23151, 4.22896, 3.37839, 3.36264, 3.35999, 3.33635, 3.33635, 3.25522, 3.42344, 4.77947, 4.3748, 2.12394, 2.12347, 2.12301, 3.99414, 3.99414, 2.06509, 1.78667, 1.59719, 1.57569, 1.47935, 1.05682, 1.9984, 
54, 4.2507, 4.24798, 4.25073, 4.24845, 4.25099, 4.24562, 4.25402, 4.26213, 4.26212, 4.24172, 4.26477, 3.39148, 3.38627, 3.36261, 3.36524, 3.33634, 3.34159, 3.28911, 3.2839, 3.30281, 3.62799, 2.12393, 2.16034, 2.40363, 2.12492, 1.75266, 1.5898, 1.88061, 1.59744, 1.57436, 1.09782, 0, 
55, 4.31848, 4.32351, 4.31743, 4.31482, 4.32036, 4.32223, 4.301, 4.28737, 4.31144, 4.30362, 4.27958, 4.25116, 4.21541, 3.32943, 3.32945, 3.30068, 3.25382, 3.26944, 4.43191, 3.80036, 2.12543, 2.2456, 2.54732, 2.12542, 2.10368, 2.10368, 1.58888, 1.60185, 1.5763, 1.53386, 1.30648, 1.90173, 
56, 4.22531, 4.22277, 4.22841, 4.22293, 4.23418, 4.23697, 4.23171, 4.23763, 4.25112, 4.24882, 4.25943, 4.25696, 4.22897, 3.3705, 3.33897, 3.30222, 3.28651, 3.25262, 3.2682, 2.12499, 2.15293, 2.125, 2.12498, 4.83593, 2.12125, 2.12125, 2.12125, 1.58235, 1.66568, 1.12703, 1.05676, 0, 
57, 4.31552, 4.30984, 4.31992, 4.31749, 4.29851, 4.30107, 4.3037, 4.29842, 4.27253, 4.26478, 4.25707, 3.35211, 3.34685, 3.33895, 3.28913, 3.30481, 3.25781, 3.28128, 3.20362, 3.20618, 2.12393, 3.85551, 2.12395, 2.12395, 2.1217, 1.75169, 1.64636, 1.61759, 1.60349, 1.50159, 1.06305, 1.95108, 
58, 1.95108, 4.30015, 4.2917, 4.2889, 4.29126, 4.29093, 4.2884, 4.29801, 4.29795, 4.30312, 4.30573, 4.26919, 4.26921, 4.24859, 4.22811, 3.31637, 3.31637, 3.24349, 3.2772, 3.75437, 1.60468, 1.60468, 1.60468, 2.81746, 2.69262, 1.73854, 2.14833, 1.73854, 1.55197, 1.4575, 1.04936, 0.875727, 
59, 4.20993, 4.18921, 4.19184, 4.18976, 4.19365, 4.19302, 4.22097, 4.22105, 3.39759, 3.38908, 3.38888, 3.3705, 3.35737, 3.31795, 3.30222, 3.27346, 3.2839, 3.25002, 3.24484, 3.96682, 2.1274, 2.12301, 2.97407, 2.11911, 2.10783, 2.12075, 1.60299, 1.576, 1.31669, 1.23466, 1.0578, 1.9121, 
60, 4.28908, 4.28323, 4.286, 4.29394, 4.28035, 4.27229, 4.26702, 4.24916, 4.26708, 4.25176, 4.25449, 4.23661, 3.38888, 3.37839, 3.35211, 3.35737, 3.32321, 3.26303, 3.27345, 3.23966, 4.11723, 2.21117, 3.78525, 2.12236, 2.11197, 2.12235, 1.91609, 1.91609, 1.56779, 1.25529, 1.05155, 0, 
61, 4.186, 4.17825, 4.17888, 4.18147, 4.16998, 4.17766, 4.18227, 4.17696, 3.37577, 3.3705, 3.3705, 3.3705, 3.3337, 3.33371, 3.2839, 3.30745, 3.2839, 3.19595, 2.19835, 2.16988, 2.1468, 2.13231, 3.99711, 2.13231, 2.13231, 1.91074, 1.91074, 1.58117, 1.55935, 1.43135, 1.07337, 1.90105, 
62, 4.2208, 4.2208, 4.21552, 4.2076, 4.21883, 4.22444, 4.22732, 4.2308, 4.23882, 4.2363, 4.24168, 3.3416, 3.32058, 3.29175, 3.27345, 3.27345, 3.27084, 3.25524, 3.22932, 3.27084, 2.12392, 2.12393, 2.13406, 2.14175, 2.21084, 2.10988, 1.94109, 1.76745, 1.56978, 1.19595, 1.10062, 0, 
